"lon","lat","code","name","id","routeid"
23.99169,49.85106,"0184","Крупзавод",36750,1527114
23.99457,49.84974,"0697","Янівське кладовище",36743,1527114
23.9999,49.84804,"0183","Єрошенка",36735,1527114
24.00325,49.84696,"0182","Турянського",36731,1527114
24.0113165898743,49.8442081448583,"0077","Ярослава Мудрого",36698,1527114
24.01545,49.84251,"0060","Правничий ліцей",36687,1527114
24.01212,49.840261,"0017","Цирк",37096,1527114
24.00551,49.83773,"0094","Кропивницького",36643,1527114
24.0043093995775,49.8363026252423,"0528","Кропивницького",37315,1527114
24.0068,49.8349,"0557","Русових",36610,1527114
24.01011,49.8347,"0556","Степана Бандери",36606,1527114
24.01623,49.83461,"0065","Львівська політехніка",36605,1527114
24.0231632145825,49.8302595286214,"0019","Парк культури",39144,1527114
24.0310603304328,49.8297981744569,"49.82976224.031172","Стрийський ринок",39168,1527114
24.03224,49.82226,"0033","Музей Франка",36500,1527114
24.02734,49.82045,"0038","РАГС",36487,1527114
24.02661,49.8167,"0419","Козельницька",36456,1527114
24.0300786419334,49.8156371188261,"0712","Енергетична",56129,1527114
24.03581,49.81388,"0420","Кибальчича",36437,1527114
24.0381,49.81289,"0437","Церква Кирила і Мефодія",36425,1527114
24.04543,49.81033,"0438","Угорська",36407,1527114
24.0491357369842,49.7983850903556,"0449","ТК Шувар",36348,1527114
24.0515597374344,49.7971182382472,"0451","дит. поліклініка № 4",36343,1527114
24.06172,49.79398,"0424","к-тр ім. Довженка",36330,1527114
24.06441,49.79371,"0397","Кавалерідзе",36329,1527114
24.06755,49.791,"0400","Кос-Анатольського",36320,1527114
24.0695714871025,49.7853298834428,"0354-01","Антонича",56213,1527114
24.05984,49.78509,"0463-А53","Червоної Калини",36302,1723724
24.05931,49.78746,"0458","Коломийська",36310,1723724
24.0592,49.79058,"0456","Поліклініка №4",36319,1723724
24.05762,49.79466,"0455","к-тр ім. Довженка",36335,1723724
24.05384,49.79647,"0452","дит. поліклініка № 4",36339,1723724
24.04892,49.79897,"0450","ТК Шувар",36347,1723724
24.04549,49.81052,"0439","Угорська",36408,1723724
24.0423323464779,49.8123393195468,"0362","Карбишева",36424,1723724
24.04404,49.81375,"0358","Литвиненка",36434,1723724
24.03558,49.814,"0421","Кибальчича",36438,1723724
24.0286973042908,49.8161935335057,"0711","Енергетична",56127,1723724
24.02519,49.81809,"0402","Козельницька",36471,1723724
24.02748,49.82038,"0401","РАГС",36484,1723724
24.0324957650824,49.8221527164472,"0713","Музей Франка",39164,1723724
24.0328600926819,49.8293517842194,"0009","Стрийський ринок",36559,1723724
24.03548,49.83383,"0292","Руставелі",36589,1723724
24.03495,49.83697,"0029","Шухевича",36631,1723724
24.0352320671082,49.8424038598667,"0057","Підвальна",36685,1723724
24.02792,49.84477,"0040","Театральна",36711,1723724
24.02564,49.84654,"0007","Чорновола",36727,1723724
24.02442,49.85117,"0615","ПК ім. Хоткевича",36752,1723724
24.02305,49.85433,"0616","Хімічна",36770,1723724
24.02299,49.85731,"0597","Шевченківська РА",36783,1723724
24.02751,49.86062,"0598","Замарстинівська",36798,1723724
24.03361,49.86362,"0599","Бетховена",36813,1723724
24.04142,49.8649,"0600","БТІ",36819,1723724
24.05168,49.86491,"0605","АС-2",36820,1723724
24.05626,49.8685,"0589","Грінченка",36837,1723724
24.0609942337387,49.8746122748608,"0595","Галицьке Перехрестя",36868,1723724
24.0599707514413,49.8738773102951,"0593","Галицьке Перехрестя",36865,1723724
24.05782,49.87082,"0592","ТЦ ВАМ",36853,1723724
24.0563401503982,49.8691358465464,"0738","Скейтпарк",37283,1723724
24.05098,49.86513,"0601","АС-2",36822,1723724
24.04367,49.86527,"0607","Липинського - Миколайчука",36823,1723724
24.04077,49.86493,"0604","БТІ",36821,1723724
24.03264,49.86345,"0603","Бетховена",36812,1723724
24.0263,49.85974,"0602","Замарстинівська",36794,1723724
24.0217178954582,49.8561087233785,"0609","Шевченківська РА",36780,1723724
24.02271,49.85426,"0608","Хімічна",36769,1723724
24.024682488224,49.8497089629023,"0006","пл. 700-річчя",36742,1723724
24.0251564835186,49.8455111512905,"0705","Вагова",36723,1723724
24.02561,49.84407,"0068","Оперний театр",36696,1723724
24.02818,49.84,"0067","Свободи",36664,1723724
24.03301,49.83767,"0039","кн. Романа",36641,1723724
24.03532,49.83409,"0291","Руставелі",36592,1723724
24.0326616092148,49.829365625839,"0008","Стрийський ринок",36558,1723724
24.03224,49.82226,"0033","Музей Франка",36500,1723724
24.02734,49.82045,"0038","РАГС",36487,1723724
24.02661,49.8167,"0419","Козельницька",36456,1723724
24.03581,49.81388,"0420","Кибальчича",36437,1723724
24.0381,49.81289,"0437","Церква Кирила і Мефодія",36425,1723724
24.04543,49.81033,"0438","Угорська",36407,1723724
24.0491357369842,49.7983850903556,"0449","ТК Шувар",36348,1723724
24.0515597374344,49.7971182382472,"0451","дит. поліклініка № 4",36343,1723724
24.05821,49.79204,"0453","ТЦ ВАМ",36323,1723724
24.05865,49.78876,"0454","Коломийська",36317,1723724
24.05875,49.7855,"0457","Червоної Калини",36305,1723724
23.96536,49.84768,"0177","Суботівська",36734,712988
23.96658,49.84473,"0176","Поліклініка",36710,712988
23.96861,49.84174,"0194","Церква Вознесіння",36675,712988
23.97337,49.84211,"0195","Олешківська",36679,712988
23.97891,49.84214,"0181","Широка",36680,712988
23.9768,49.83688,"0180","Сяйво",36629,712988
23.9680295337296,49.8295841988832,"0124","Мотозавод",36565,712988
23.9677,49.82586,"0127","Поліклініка № 5",36537,712988
23.9694,49.82002,"0133","Любінська",36481,712988
23.9714934110451,49.8174322049495,"0134","Кульчицької",36462,712988
23.9752512574291,49.8143150414927,"0132","ТВК Південний",36428,712988
23.9820938478851,49.8121395170145,"0135","Скнилівок",36421,712988
23.99171,49.81118,"0485","Симоненка",36414,712988
23.99813,49.81054,"0486","маг. Океан",36409,712988
24.00457,49.80999,"0483","Володимира Великого",36404,712988
24.0117672009888,49.808917235785,"0480","Янева",36396,712988
24.01926,49.80841,"0429","ЛАЗ",36395,712988
24.02046,49.81461,"0403","Податкова",36440,712988
24.02661,49.8167,"0419","Козельницька",36456,712988
24.03581,49.81388,"0420","Кибальчича",36437,712988
24.0381,49.81289,"0437","Церква Кирила і Мефодія",36425,712988
24.04543,49.81033,"0438","Угорська",36407,712988
24.05404,49.80753,"0412","Луганська",36391,712988
24.06271,49.80494,"0376","Луганська",36379,712988
24.06594,49.80153,"0379","Зубрівська",36358,712988
24.0718,49.79695,"0380","Сихівська",36341,712988
24.06441,49.79371,"0397","Кавалерідзе",36329,712988
24.06755,49.791,"0400","Кос-Анатольського",36320,712988
24.06614,49.78767,"0410","Коломийська - Трильовського",36313,712988
24.06108,49.78799,"0409","Коломийська",36316,712988
24.05865,49.78876,"0454","Коломийська",36317,712988
24.05875,49.7855,"0457","Червоної Калини",36305,712988
24.0593792711639,49.7852041287907,"0459","Червоної Калини",36301,712988
24.05931,49.78746,"0458","Коломийська",36310,712988
24.0667748234177,49.7878199007936,"0411","Коломийська - Трильовського",36311,712988
24.06733,49.79134,"0399","Кос-Анатольського",36321,712988
24.06512,49.7947,"0423","Кавалерідзе",36336,712988
24.0721472228889,49.7969772758489,"0394","Сихівська",37295,712988
24.06522,49.80226,"0378","Зубрівська",36361,712988
24.06231,49.80593,"0377","Пасічна",36386,712988
24.05369,49.8077,"0413","Луганська",36392,712988
24.04549,49.81052,"0439","Угорська",36408,712988
24.0423323464779,49.8123393195468,"0362","Карбишева",36424,712988
24.04262,49.81377,"0422","Литвиненка",36435,712988
24.03558,49.814,"0421","Кибальчича",36438,712988
24.02581,49.81666,"0408","Козельницька",36454,712988
24.02308,49.81463,"0404","Податкова",36441,712988
24.01703,49.80835,"0478","ЛАЗ",36394,712988
24.00737,49.80998,"0479","Коледж зв'язку",36403,712988
24.001225364418,49.8103900058903,"0481","Володимира Великого",36406,712988
23.9968,49.81083,"0482","маг. Океан",36412,712988
23.9903055975532,49.8114923103333,"0484","Симоненка",36419,712988
23.9822089791679,49.8123008654063,"0131","Скнилівок",36423,712988
23.97685,49.81365,"0130","ТВК Південний",36433,712988
23.97246,49.81668,"0129","Кульчицької",36455,712988
23.9699824196434,49.8196204819716,"0128","Любінська",36478,712988
23.96755,49.82325,"0126","Патона",36516,712988
23.96789,49.82628,"0125","Поліклініка № 5",36543,712988
23.96915,49.83065,"0100","Мотозавод",36572,712988
23.97735,49.83756,"0179","Сяйво",36639,712988
23.97868,49.84284,"0196","Широка",36689,712988
23.9717,49.84217,"0192","Низинна",36681,712988
23.9678631563577,49.8421988832552,"0175","Церква Вознесіння",36706,712988
23.96677,49.8455,"0178","Поліклініка",36721,712988
23.9661957923367,49.8477122942611,"0177-01","Суботівська",37319,712988
24.06366,49.79453,"0425","Кавалерідзе",36333,712991
24.05762,49.79466,"0455","к-тр ім. Довженка",36335,712991
24.05384,49.79647,"0452","дит. поліклініка № 4",36339,712991
24.04892,49.79897,"0450","ТК Шувар",36347,712991
24.04549,49.81052,"0439","Угорська",36408,712991
24.0423323464779,49.8123393195468,"0362","Карбишева",36424,712991
24.04262,49.81377,"0422","Литвиненка",36435,712991
24.03558,49.814,"0421","Кибальчича",36438,712991
24.02581,49.81666,"0408","Козельницька",36454,712991
24.02308,49.81463,"0404","Податкова",36441,712991
24.01703,49.80835,"0478","ЛАЗ",36394,712991
24.00737,49.80998,"0479","Коледж зв'язку",36403,712991
24.001225364418,49.8103900058903,"0481","Володимира Великого",36406,712991
23.9968,49.81083,"0482","маг. Океан",36412,712991
23.9903055975532,49.8114923103333,"0484","Симоненка",36419,712991
23.9822089791679,49.8123008654063,"0131","Скнилівок",36423,712991
23.97685,49.81365,"0130","ТВК Південний",36433,712991
23.97246,49.81668,"0129","Кульчицької",36455,712991
23.9699824196434,49.8196204819716,"0128","Любінська",36478,712991
23.9697394995307,49.820821657157,"0148","Виговського",36491,712991
23.97447,49.82264,"0146","Караджича",36506,712991
23.9791416955089,49.8249231204362,"0156","Зоряна",36532,712991
23.9826035423698,49.8273455725802,"0737","Окружна",55123,712991
23.9791,49.83253,"0498","Богданівка",36582,712991
23.98455,49.83347,"0497","Народна",36587,712991
23.99003,49.83449,"0496","Кульпарківська",36600,712991
23.994827253828,49.835273033256,"0494","ТЦ Скриня",36612,712991
23.999526484022,49.8361241812794,"0749","Привокзальний ринок",37286,712991
24.00016,49.8377,"0189","Приміський вокзал",36642,712991
23.99545,49.8388,"0191-А16","Залізничний вокзал",36649,712991
23.99969,49.83766,"0190","Приміський вокзал",36640,712991
23.99929,49.83646,"0110","Привокзальний ринок",36625,712991
23.994837982664,49.8356051903647,"0113","ТЦ Скриня",36614,712991
23.98985,49.83451,"0095","Кульпарківська",36602,712991
23.98539,49.83376,"0096","Народна",36588,712991
23.98315,49.82738,"0536","Окружна",36554,712991
23.9767663263893,49.8239721938386,"0147","Яворницького",36522,712991
23.97274,49.82214,"0149","Караджича",36499,712991
23.9694,49.82002,"0133","Любінська",36481,712991
23.9714934110451,49.8174322049495,"0134","Кульчицької",36462,712991
23.9752512574291,49.8143150414927,"0132","ТВК Південний",36428,712991
23.9820938478851,49.8121395170145,"0135","Скнилівок",36421,712991
23.99171,49.81118,"0485","Симоненка",36414,712991
23.99813,49.81054,"0486","маг. Океан",36409,712991
24.00457,49.80999,"0483","Володимира Великого",36404,712991
24.0084412618103,49.8095940260769,"0736","Коледж зв'язку",55121,712991
24.0117672009888,49.808917235785,"0480","Янева",36396,712991
24.01926,49.80841,"0429","ЛАЗ",36395,712991
24.02046,49.81461,"0403","Податкова",36440,712991
24.02661,49.8167,"0419","Козельницька",36456,712991
24.03581,49.81388,"0420","Кибальчича",36437,712991
24.0381,49.81289,"0437","Церква Кирила і Мефодія",36425,712991
24.04543,49.81033,"0438","Угорська",36407,712991
24.0491357369842,49.7983850903556,"0449","ТК Шувар",36348,712991
24.0515597374344,49.7971182382472,"0451","дит. поліклініка № 4",36343,712991
24.06172,49.79398,"0424","к-тр ім. Довженка",36330,712991
24.06512,49.7947,"0423","Кавалерідзе",36336,712991
23.9366917258759,49.8216087316382,"0085","ст. Скнилів",36493,713002
23.93947,49.82488,"0086","Авіаційна",36530,713002
23.9491,49.82703,"0116","Церква Воскресіння",36550,713002
23.9544583974838,49.8269561828077,"0169","Ряшівська",36551,713002
23.95569,49.82406,"0168","з-д ЛОРТА",36523,713002
23.9614304368401,49.8229999176395,"0121","Патона",36512,713002
23.9657160638237,49.8226110650298,"0120","Кричевського",36507,713002
23.9694,49.82002,"0133","Любінська",36481,713002
23.9714934110451,49.8174322049495,"0134","Кульчицької",36462,713002
23.9752512574291,49.8143150414927,"0132","ТВК Південний",36428,713002
23.9820938478851,49.8121395170145,"0135","Скнилівок",36421,713002
23.9825533816147,49.8096076945499,"0138","Щирецька",36401,713002
23.98234,49.8054,"0551","Наукова",36382,713002
23.98696,49.80487,"0544","Симоненка",36377,713002
23.9925143164635,49.804241159824,"0540","Пулюя",36374,713002
23.99633,49.80393,"0548","Центр зайнятості",36372,713002
24.00103,49.80346,"0550","Бізнес-центр",36371,713002
24.0058314724388,49.8030109301524,"0538","Тролейбусна",36369,713002
