"routeid","vehicleid","t1","lon1","lat1","t2","lon2","lat2","bear","tdiff","p_index1","p_index2","bear","p_lon1","p_lat1","p_lon2","p_lat2","dist","speed"
1054553,39174,2017-07-20 23:47:51,23.9954083,49.8387866,2017-07-20 23:48:51,23.9973133,49.8385816,99.4720736406091,60,477,481,102.906635048014,23.99545,49.8388,23.997601114075,49.8384820656,0.180692821987458,10.8415693192475
1054553,39174,2017-07-20 23:48:51,23.9973133,49.8385816,2017-07-20 23:49:51,23.99919,49.8378633,120.686420983625,60,481,484,120.231293742888,23.997009687,49.8387043557,23.9993753953,49.8378151953,0.196583498678179,11.7950099206907
1054553,39174,2017-07-20 23:56:51,24.0162883,49.841865,2017-07-20 23:57:51,24.0172733,49.8422533,58.5629702777138,60,534,536,57.1457523096608,24.0161994009,49.84174516465,24.01706560395,49.8421059107,0.0747498508345296,4.48499105007178
1054553,39174,2017-07-20 23:57:51,24.0172733,49.8422533,2017-07-20 23:58:51,24.0223466,49.8431266,75.0528563070065,60,537,552,73.3202465962678,24.01706560395,49.8421059107,24.0225478861,49.8431650983,0.417067354216972,25.0240412530183
1054553,39174,2017-07-21 00:02:51,24.0257316,49.8440333,2017-07-21 00:03:51,24.0259166,49.8437433,157.638440559729,60,568,569,159.114429066252,24.02561,49.84407,24.0257665841625,49.8438053673625,0.0315304922955792,1.89182953773475
1054553,39174,2017-07-21 00:03:51,24.0259166,49.8437433,2017-07-21 00:04:51,24.0274716,49.8409966,159.942489418201,60,570,579,158.474269124826,24.0257665841625,49.8438053673625,24.0275332256,49.84091680515,0.345824083233222,20.7494449939933
1054553,39174,2017-07-21 00:04:51,24.0274716,49.8409966,2017-07-21 00:05:51,24.0286783,49.8397283,148.466410241891,60,580,586,152.424321544944,24.0275332256,49.84091680515,24.0285095497,49.8397111284,0.153049471755001,9.18296830530007
1054553,39174,2017-07-21 00:05:51,24.0286783,49.8397283,2017-07-21 00:06:51,24.0328933,49.8392166,100.658816832764,60,587,601,105.671139245104,24.0285095497,49.8397111284,24.0322037113,49.8390426734,0.296070534148456,17.7642320489074
1054553,39174,2017-07-21 00:10:51,24.0352583,49.833625,2017-07-21 00:11:51,24.03241,49.8298366,205.872980116489,60,635,649,206.451015922063,24.0351771178,49.833375585,24.03235,49.82971,0.470600412927158,28.2360247756295
1054553,39174,2017-07-21 00:11:51,24.03241,49.8298366,2017-07-21 00:12:51,24.033725,49.82692,163.782675839986,60,651,661,165.247590833467,24.0326616092,49.8293656258,24.0337290086,49.8267506558,0.351129968139841,21.0677980883905
