"routeid","vehicleid","new_datetime","datetime","lonS","latS","lonF","latF","dist","time","speed"
"712988","38682","1500439974","2017-07-19 07:52:54","23.9809894561768","49.8123245239258","23.9852409362793","49.8118782043457","31.0240172116","60","1.861441032696"
"712988","38682","1500440034","2017-07-19 07:53:54","23.9852409362793","49.8118782043457","23.9882698059082","49.8115577697754","306.2210016154","61","18.0720591117285"
"712988","38682","1500440095","2017-07-19 07:54:55","23.9882698059082","49.8115577697754","23.9929618835449","49.8111000061035","190.1354347507","61","11.2211076246315"
"712988","38682","1500440156","2017-07-19 07:55:56","23.9929618835449","49.8111000061035","23.9981174468994","49.8105545043945","466.63440270888","60","27.9980641625328"
"712988","38682","1500440334","2017-07-19 07:58:54","24.0037250518799","49.8100357055664","24.0065460205078","49.8099174499512","253.2526325671","61","14.94605700396"
"712988","38682","1500440395","2017-07-19 07:59:55","24.0065460205078","49.8099174499512","24.0080375671387","49.8097076416016","259.5146806473","60","15.570880838838"
"712988","38682","1500440455","2017-07-19 08:00:55","24.0080375671387","49.8097076416016","24.0120258331299","49.8088684082031","291.26436589559","60","17.4758619537354"
"712988","38682","1500440515","2017-07-19 08:01:55","24.0120258331299","49.8088684082031","24.016975402832","49.8082389831543","440.571660794","60","26.43429964764"
"712988","38682","1500440634","2017-07-19 08:03:54","24.019287109375","49.808406829834","24.0213432312012","49.8145790100098","729.5068300837","61","43.0528621033003"
"712988","38682","1500440754","2017-07-19 08:05:54","24.0231266021729","49.8145332336426","24.0265617370605","49.8167419433594","0","60","0"
"712988","38682","1500440814","2017-07-19 08:06:54","24.0265617370605","49.8167419433594","24.029613494873","49.8158302307129","347.697284238","60","20.86183705428"
"712988","38682","1500440874","2017-07-19 08:07:54","24.029613494873","49.8158302307129","24.0351581573486","49.8140716552734","604.461624397","62","35.0977717391806"
"712988","38682","1500440995","2017-07-19 08:09:55","24.0381603240967","49.8129463195801","24.0443840026855","49.810848236084","597.8165455484","61","35.2809764585941"
"712988","38682","1500441174","2017-07-19 08:12:54","24.048225402832","49.8078117370605","24.05246925354","49.8077049255371","369.467049932","61","21.8046127828721"
"712988","38682","1500441294","2017-07-19 08:14:54","24.0564880371094","49.8072776794434","24.0596656799316","49.8068656921387","112.9308301737","60","6.775849810422"
"712988","38682","1500441354","2017-07-19 08:15:54","24.0596656799316","49.8068656921387","24.063871383667","49.8037796020508","577.60872896208","61","34.0883840043195"
"712988","38682","1500441415","2017-07-19 08:16:55","24.063871383667","49.8037796020508","24.0673408508301","49.8004150390625","456.37734452024","60","27.3826406712144"
"712988","38682","1500441475","2017-07-19 08:17:55","24.0673408508301","49.8004150390625","24.0716094970703","49.797492980957","533.8279871917","60","32.029679231502"
"712988","38682","1500441594","2017-07-19 08:19:54","24.0674152374268","49.7951507568359","24.0644149780273","49.7937431335449","164.838160717","61","9.72815374723279"
"712988","38682","1500441714","2017-07-19 08:21:54","24.0679168701172","49.7907676696777","24.0673160552979","49.788330078125","408.13708481174","61","24.0867787757748"
"712988","38682","1500441775","2017-07-19 08:22:55","24.0673160552979","49.788330078125","24.0628700256348","49.7877883911133","417.8201665975","60","25.06920999585"
"712988","38682","1500441835","2017-07-19 08:23:55","24.0628700256348","49.7877883911133","24.0591659545898","49.7890205383301","390.40046383552","61","23.0400273738995"
"712988","38682","1500442014","2017-07-19 08:26:54","24.0589141845703","49.7854118347168","24.0589141845703","49.7854118347168","0","60","0"
"712988","38682","1500442074","2017-07-19 08:27:54","24.0589141845703","49.7854118347168","24.0589141845703","49.7854118347168","0","60","0"
"712988","38682","1500442134","2017-07-19 08:28:54","24.0589141845703","49.7854118347168","24.0589141845703","49.7854118347168","0","61","0"
"712988","38682","1500442195","2017-07-19 08:29:55","24.0589141845703","49.7854118347168","24.0589141845703","49.7854118347168","0","65","0"
"712988","38682","1500442260","2017-07-19 08:31:00","24.0589141845703","49.7854118347168","24.0593872070313","49.7849769592285","91.57432580106","295","1.11751719621633"
"712988","38682","1500442555","2017-07-19 08:35:55","24.0593872070313","49.7849769592285","24.0593872070313","49.7849769592285","18.3308633117","60","1.099851798702"
"712988","38682","1500442615","2017-07-19 08:36:55","24.0593872070313","49.7849769592285","24.0593872070313","49.7849769592285","18.3308633117","60","1.099851798702"
"712988","38682","1500442675","2017-07-19 08:37:55","24.0593872070313","49.7849769592285","24.0593872070313","49.7849769592285","18.3308633117","60","1.099851798702"
"712988","38682","1500442794","2017-07-19 08:39:54","24.0593566894531","49.7861137390137","24.0593318939209","49.7876472473145","33.432860326","61","1.97308683891148"
"712988","38682","1500442855","2017-07-19 08:40:55","24.0593318939209","49.7876472473145","24.066255569458","49.7876243591309","588.4916157453","60","35.309496944718"
"712988","38682","1500442915","2017-07-19 08:41:55","24.066255569458","49.7876243591309","24.0691089630127","49.789478302002","0","61","0"
"712988","38682","1500443034","2017-07-19 08:43:54","24.067310333252","49.7913475036621","24.0644454956055","49.794116973877","414.1560195487","61","24.4419945963167"
"712988","38682","1500443095","2017-07-19 08:44:55","24.0644454956055","49.794116973877","24.0642547607422","49.7944602966309","35.79661609349","60","2.1477969656094"
"712988","38682","1500443155","2017-07-19 08:45:55","24.0642547607422","49.7944602966309","24.070140838623","49.7956123352051","581.41201408163","61","34.3128401753093"
"712988","38682","1500443275","2017-07-19 08:47:55","24.0705318450928","49.7988395690918","24.0655517578125","49.8020439147949","14.77659112","60","0.8865954672"
"712988","38682","1500443335","2017-07-19 08:48:55","24.0655517578125","49.8020439147949","24.062427520752","49.8056640625","64.4764997756","60","3.868589986536"
"712988","38682","1500443395","2017-07-19 08:49:55","24.062427520752","49.8056640625","24.0622329711914","49.8059997558594","44.9150303923","60","2.694901823538"
"712988","38682","1500443514","2017-07-19 08:51:54","24.0608253479004","49.8067893981934","24.0573234558105","49.8072166442871","519.4356571496","61","30.6552191104682"
"712988","38682","1500443634","2017-07-19 08:53:54","24.0520801544189","49.8078269958496","24.046781539917","49.809326171875","81.79035836","61","4.82697196878689"
"712988","38682","1500443754","2017-07-19 08:55:54","24.0452423095703","49.8105087280273","24.0423526763916","49.8123970031738","377.0687973583","61","22.2532404998341"
"712988","38682","1500443874","2017-07-19 08:57:54","24.0418586730957","49.8136405944824","24.0356330871582","49.8139686584473","519.8978528789","60","31.193871172734"
"712988","38682","1500443934","2017-07-19 08:58:54","24.0356330871582","49.8139686584473","24.0356330871582","49.8139686584473","0","61","0"
"712988","38682","1500443995","2017-07-19 08:59:55","24.0356330871582","49.8139686584473","24.0347690582275","49.8142433166504","362.134847757","61","21.3718926545115"
"712988","38682","1500444174","2017-07-19 09:02:54","24.0258178710938","49.8164329528809","24.0251617431641","49.8145179748535","419.5865484896","60","25.175192909376"
"712988","38682","1500444234","2017-07-19 09:03:54","24.0251617431641","49.8145179748535","24.0218601226807","49.814624786377","13.1009243275","61","0.773169304573771"
"712988","38682","1500444295","2017-07-19 09:04:55","24.0218601226807","49.814624786377","24.0195426940918","49.812313079834","900.5623882758","60","54.033743296548"
"712988","38682","1500444355","2017-07-19 09:05:55","24.0195426940918","49.812313079834","24.0192108154297","49.8094215393066","444.0395584498","60","26.642373506988"
"712988","38682","1500444415","2017-07-19 09:06:55","24.0192108154297","49.8094215393066","23.9941291809082","49.8110542297363","2163.44862962508","299","26.0482109252518"
"712988","38682","1500444714","2017-07-19 09:11:54","23.9941291809082","49.8110542297363","23.9919490814209","49.8112335205078","0","62","0"
"712988","38682","1500444894","2017-07-19 09:14:54","23.9849853515625","49.8119964599609","23.9803638458252","49.8124847412109","371.23805166564","61","21.9091309179722"
"712988","38682","1500445014","2017-07-19 09:16:54","23.9770374298096","49.8135833740234","23.9726581573486","49.8163757324219","470.92319529954","60","28.2553917179724"
"712988","38682","1500445074","2017-07-19 09:17:54","23.9726581573486","49.8163757324219","23.9704513549805","49.8190383911133","424.29967270856","60","25.4579803625136"
"712988","38682","1500445134","2017-07-19 09:18:54","23.9704513549805","49.8190383911133","23.9696273803711","49.8199157714844","145.21873602","60","8.7131241612"
"712988","38682","1500445194","2017-07-19 09:19:54","23.9696273803711","49.8199157714844","23.9675159454346","49.8232307434082","418.8585611618","60","25.131513669708"
"712988","38682","1500445254","2017-07-19 09:20:54","23.9675159454346","49.8232307434082","23.9679546356201","49.8272323608398","337.590184638","60","20.25541107828"
"712988","38682","1500445314","2017-07-19 09:21:54","23.9679546356201","49.8272323608398","23.9683609008789","49.8305015563965","481.6835274569","60","28.901011647414"
"712988","38682","1500445374","2017-07-19 09:22:54","23.9683609008789","49.8305015563965","23.9720401763916","49.8312835693359","101.935122031","60","6.11610732186"
"712988","38682","1500445434","2017-07-19 09:23:54","23.9720401763916","49.8312835693359","23.9777507781982","49.8324966430664","39.1578889125","60","2.34947333475"
"712988","38682","1500445494","2017-07-19 09:24:54","23.9777507781982","49.8324966430664","23.9780502319336","49.833381652832","142.7353057435","60","8.56411834461"
"712988","38682","1500445554","2017-07-19 09:25:54","23.9780502319336","49.833381652832","23.9772396087646","49.8377380371094","488.8696708656","60","29.332180251936"
"712988","38682","1500445614","2017-07-19 09:26:54","23.9772396087646","49.8377380371094","23.9788379669189","49.8412971496582","581.5099441149","61","34.3186196526826"
"712988","38682","1500445734","2017-07-19 09:28:54","23.9765491485596","49.842456817627","23.9712524414063","49.8421745300293","456.6692952116","60","27.400157712696"
"712988","38682","1500445794","2017-07-19 09:29:54","23.9712524414063","49.8421745300293","23.9673309326172","49.8433265686035","601.28174908578","61","35.4854802739149"
"712988","38682","1500445914","2017-07-19 09:31:54","23.9665260314941","49.8462791442871","23.9661502838135","49.8478355407715","228.938899599","60","13.73633397594"
"712988","38682","1500445974","2017-07-19 09:32:54","23.9661502838135","49.8478355407715","23.9661502838135","49.8478355407715","0","61","0"
"712988","38682","1500446035","2017-07-19 09:33:55","23.9661502838135","49.8478355407715","23.9661502838135","49.8478355407715","0","60","0"
"712988","38682","1500446154","2017-07-19 09:35:54","23.9661502838135","49.8478355407715","23.9661502838135","49.8478355407715","0","60","0"
"712988","38682","1500446214","2017-07-19 09:36:54","23.9661502838135","49.8478355407715","23.9661502838135","49.8478355407715","0","61","0"
"712988","38682","1500446334","2017-07-19 09:38:54","23.9661502838135","49.8478355407715","23.9661502838135","49.8478355407715","0","60","0"
"712988","38682","1500446394","2017-07-19 09:39:54","23.9661502838135","49.8478355407715","23.9661502838135","49.8478355407715","0","60","0"
"712988","38682","1500446454","2017-07-19 09:40:54","23.9661502838135","49.8478355407715","23.966625213623","49.8445777893066","0","301","0"
"712988","38682","1500446814","2017-07-19 09:46:54","23.9673805236816","49.8420143127441","23.9677753448486","49.8417358398438","41.50632941778","61","2.44955386727882"
"712988","38682","1500446934","2017-07-19 09:48:54","23.9710845947266","49.8419609069824","23.9742870330811","49.84228515625","318.4297492678","60","19.105784956068"
"712988","38682","1500446994","2017-07-19 09:49:54","23.9742870330811","49.84228515625","23.9790706634521","49.8421401977539","418.78546313424","60","25.1271277880544"
"712988","38682","1500447054","2017-07-19 09:50:54","23.9790706634521","49.8421401977539","23.9779376983643","49.8401947021484","397.8624842822","60","23.871749056932"
"712988","38682","1500447114","2017-07-19 09:51:54","23.9779376983643","49.8401947021484","23.9768295288086","49.8366622924805","262.55831181","60","15.7534987086"
"712988","38682","1500447174","2017-07-19 09:52:54","23.9768295288086","49.8366622924805","23.9772357940674","49.8322868347168","553.06862895393","60","33.1841177372358"
"712988","38682","1500447234","2017-07-19 09:53:54","23.9772357940674","49.8322868347168","23.967493057251","49.8236122131348","22.607965628","240","0.33911948442"
"712988","38682","1500447474","2017-07-19 09:57:54","23.967493057251","49.8236122131348","23.9678993225098","49.821834564209","0","61","0"
"712988","38682","1500447535","2017-07-19 09:58:55","23.9678993225098","49.821834564209","23.9684524536133","49.8211631774902","116.3643503064","60","6.981861018384"
"712988","38682","1500447595","2017-07-19 09:59:55","23.9684524536133","49.8211631774902","23.9688968658447","49.8206672668457","84.6570559396","60","5.079423356376"
"712988","38682","1500447714","2017-07-19 10:01:54","23.970329284668","49.8190040588379","23.9709491729736","49.8180961608887","68.5172693525","60","4.11103616115"
"712988","38682","1500447774","2017-07-19 10:02:54","23.9709491729736","49.8180961608887","23.9750347137451","49.8144569396973","521.6550806179","61","30.7862014790892"
"712988","38682","1500447835","2017-07-19 10:03:55","23.9750347137451","49.8144569396973","23.9755897521973","49.8141937255859","75.5412336235","60","4.53247401741"
"712988","38682","1500447895","2017-07-19 10:04:55","23.9755897521973","49.8141937255859","23.9780254364014","49.8130760192871","290.2166698075","60","17.41300018845"
"712988","38682","1500447955","2017-07-19 10:05:55","23.9780254364014","49.8130760192871","23.9812984466553","49.8122329711914","35.6237430693","60","2.137424584158"
"712988","38682","1500448074","2017-07-19 10:07:54","23.9825611114502","49.8121032714844","23.9883327484131","49.8115005493164","515.0543138068","60","30.903258828408"
"712988","38682","1500448134","2017-07-19 10:08:54","23.9883327484131","49.8115005493164","23.9916725158691","49.8111610412598","190.1354347507","60","11.408126085042"
"712988","38682","1500448194","2017-07-19 10:09:54","23.9916725158691","49.8111610412598","23.9916725158691","49.8111610412598","0","60","0"
"712988","38682","1500448254","2017-07-19 10:10:54","23.9916725158691","49.8111610412598","23.9949378967285","49.8108749389648","458.7978248477","61","27.0765929418315"
"712988","38682","1500448374","2017-07-19 10:12:54","23.9980182647705","49.8105201721191","23.9980182647705","49.8105201721191","7.83657786118","60","0.4701946716708"
"712988","38682","1500448434","2017-07-19 10:13:54","23.9980182647705","49.8105201721191","24.0010299682617","49.8102531433105","257.64953258388","60","15.4589719550328"
"712988","38682","1500448494","2017-07-19 10:14:54","24.0010299682617","49.8102531433105","24.0035438537598","49.8100433349609","269.7845540007","60","16.187073240042"
"712988","38682","1500448554","2017-07-19 10:15:54","24.0035438537598","49.8100433349609","24.0104236602783","49.8091850280762","583.7851861567","60","35.027111169402"
"712988","38682","1500448614","2017-07-19 10:16:54","24.0104236602783","49.8091850280762","24.0180473327637","49.8080978393555","614.65866938909","60","36.8795201633454"
"712988","38682","1500448674","2017-07-19 10:17:54","24.0180473327637","49.8080978393555","24.0190048217773","49.8080825805664","96.5918573385","61","5.70050305604262"
"712988","38682","1500448794","2017-07-19 10:19:54","24.0196228027344","49.8116226196289","24.0200157165527","49.814525604248","276.0690174649","60","16.564141047894"
"712988","38682","1500448854","2017-07-19 10:20:54","24.0200157165527","49.814525604248","24.0253143310547","49.8144340515137","398.7358589282","60","23.924151535692"
"712988","38682","1500448914","2017-07-19 10:21:54","24.0253143310547","49.8144340515137","24.0262832641602","49.816822052002","310.54349655616","61","18.3271571738062"
"712988","38682","1500449034","2017-07-19 10:23:54","24.0319023132324","49.8150978088379","24.0360851287842","49.8137321472168","382.863120899","60","22.97178725394"
"712988","38682","1500449094","2017-07-19 10:24:54","24.0360851287842","49.8137321472168","24.0384178161621","49.8128318786621","199.75979260585","60","11.985587556351"
"712988","38682","1500449154","2017-07-19 10:25:54","24.0384178161621","49.8128318786621","24.0452938079834","49.8105010986328","597.8165455484","61","35.2809764585941"
