"lon","lat","code","name","id","routeid"
23.93798,49.87546,"0655","Рясне 2",36875,949921
23.93242,49.87519,"0657","Величковського",36871,949921
23.9338,49.87238,"0693","Сотника",36860,949921
23.94543,49.87045,"0700","Стельмаха",36847,949921
23.9508,49.86834,"0699","Рясне 1",36836,949921
23.95649,49.86631,"0702","Промисловий ринок",36829,949921
23.96,49.86425,"0690","Порічкова",36815,949921
23.96327,49.86296,"0688","Біберовича",36811,949921
23.9663,49.86165,"0686","Шевченка",36800,949921
23.97058,49.85993,"0685","Брюховицька",36796,949921
23.9853,49.85377,"0186","Омеляна Ковча",36765,949921
23.99169,49.85106,"0184","Крупзавод",36750,949921
23.99457,49.84974,"0697","Янівське кладовище",36743,949921
23.9999,49.84804,"0183","Єрошенка",36735,949921
24.00325,49.84696,"0182","Турянського",36731,949921
24.0113165898743,49.8442081448583,"0077","Ярослава Мудрого",36698,949921
24.01545,49.84251,"0060","Правничий ліцей",36687,949921
24.0225712346501,49.8431273254587,"0014","Наливайка",36692,949921
24.03225,49.84434,"0021","Театр ляльок",36700,949921
24.03484,49.84284,"0059","Підвальна",36688,949921
24.03495,49.83697,"0029","Шухевича",36631,949921
24.03532,49.83409,"0291","Руставелі",36592,949921
24.0326616092148,49.829365625839,"0008","Стрийський ринок",36558,949921
24.03224,49.82226,"0033","Музей Франка",36500,949921
24.02734,49.82045,"0038","РАГС",36487,949921
24.02661,49.8167,"0419","Козельницька",36456,949921
24.03581,49.81388,"0420","Кибальчича",36437,949921
24.0381,49.81289,"0437","Церква Кирила і Мефодія",36425,949921
24.0423323464779,49.8123393195468,"0362","Карбишева",36424,949921
24.04262,49.81377,"0422","Литвиненка",36435,949921
24.03558,49.814,"0421","Кибальчича",36438,949921
24.02519,49.81809,"0402","Козельницька",36471,949921
24.02748,49.82038,"0401","РАГС",36484,949921
24.0324957650824,49.8221527164472,"0713","Музей Франка",39164,949921
24.0328600926819,49.8293517842194,"0009","Стрийський ринок",36559,949921
24.03548,49.83383,"0292","Руставелі",36589,949921
24.03421,49.8342,"0036","Саксаганського",36596,949921
24.03211,49.83057,"0031","пл. Франка",36569,949921
24.02382,49.83025,"0020","Парк культури",36568,949921
24.01855,49.83263,"0044","Сахарова",36584,949921
24.01508,49.83477,"0064","Львівська політехніка",36608,949921
24.0094953699532,49.8348258357792,"0066","Степана Бандери",36607,949921
24.0042553256485,49.8371529414721,"0018","Кропивницького",36635,949921
24.01253,49.84022,"0015","Цирк",36667,949921
24.0151925715942,49.8431216663867,"0680","Церква Анни",36690,949921
24.0106755419197,49.8446414255554,"0681","Ярослава Мудрого",36701,949921
24.00257,49.84729,"0682","Турянського",36733,949921
23.993486387558,49.850350500212,"0185","Янівське кладовище",37260,949921
23.98497,49.85399,"0696","Омеляна Ковча",36766,949921
23.97017,49.86021,"0687","Брюховицька",36797,949921
23.96636,49.8618,"0689","Шевченка",36802,949921
23.96353,49.86293,"0691","Біберовича",36810,949921
23.95994,49.86445,"0692","Порічкова",36816,949921
23.9567,49.86638,"0701","Промисловий ринок",36830,949921
23.95261,49.86811,"0694","Рясне 1",36835,949921
23.94625,49.87041,"0695","Стельмаха",36846,949921
23.93305,49.87272,"0698","Сотника",36862,949921
23.93245,49.87522,"0656","Величковського",36872,949921
23.9381244702759,49.8760049435237,"0655-01","Рясне 2",37265,949921
