"lon","lat","routeid","rowid","dir"
24.06966,49.7852,1527114,"1",0
24.0695848985138,49.7853431061948,1527114,"2",0
24.0681257768097,49.787580509688,1527114,"3",0
24.0680614037933,49.7878437268345,1527114,"4",0
24.0680399461212,49.7882385498723,1527114,"5",1
24.0679219289246,49.788501763443,1527114,"6",1
24.0677609963837,49.7887026359952,1527114,"7",1
24.0677663608017,49.7887580489662,1527114,"8",1
24.0680667682114,49.788972773631,1527114,"9",1
24.0684637351456,49.7892290566624,1527114,"10",0
24.0689894481125,49.7894714853089,1527114,"11",0
24.0690999031066,49.7895531319616,1527114,"12",0
24.0691294074058,49.789624128573,1527114,"13",0
24.0690972208976,49.7897228310062,1527114,"14",0
24.0683113336563,49.7904622270471,1527114,"15",0
24.0676300525665,49.7910890598148,1527114,"16",0
24.0673940181732,49.7913003110193,1527114,"17",0
24.06733,49.79134,1527114,"18",0
24.06733,49.79134,1527114,"19",0
24.0665169358253,49.7919738845268,1527114,"20",0
24.0656872589302,49.7927076166353,1527114,"21",0
24.0656872589302,49.7927076166353,1527114,"22",0
24.0653045773506,49.7928604245817,1527114,"23",0
24.0649907588958,49.7930993720544,1527114,"24",0
24.064848601818,49.7932153823588,1527114,"25",0
24.0647493600845,49.7933331238762,1527114,"26",0
24.0646849870681,49.7934525965938,1527114,"27",0
24.0643443465232,49.7942282963449,1527114,"28",0
24.0642585158348,49.7944135620813,1527114,"29",0
24.0642209649085,49.7944914773662,1527114,"30",0
24.0640278458595,49.7945347635814,1527114,"31",0
24.0638956191262,49.7945390621427,1527114,"32",0
24.06335,49.79447,1527114,"33",0
24.06335,49.79447,1527114,"34",0
24.0623533489426,49.7942499095166,1527114,"35",0
24.0612804653366,49.7940352082463,1527114,"36",0
24.0607762100418,49.7939590236958,1527114,"37",0
24.0603470565994,49.7939209313756,1527114,"38",0
24.0597676994522,49.7939001537337,1527114,"39",0
24.0587699176987,49.7938966907926,1527114,"40",0
24.0585607053955,49.793914005496,1527114,"41",0
24.0583944084366,49.7939520978216,1527114,"42",0
24.05827639124,49.7940421341086,1527114,"43",0
24.0580403568466,49.7942533724326,1527114,"44",1
24.0578311445435,49.7944230550091,1527114,"45",1
24.05762,49.79466,1527114,"46",1
24.05762,49.79466,1527114,"47",1
24.0575200082978,49.7946585318854,1527114,"48",1
24.0572410585602,49.7948455274126,1527114,"49",1
24.0565600915375,49.7950608607276,1527114,"50",1
24.0559163613739,49.7953032601845,1527114,"51",1
24.0554335637512,49.7955387327808,1527114,"52",1
24.05384,49.79647,1527114,"53",1
24.05384,49.79647,1527114,"54",1
24.0534292611065,49.7965717707699,1527114,"55",1
24.0510850104275,49.797794106096,1527114,"56",1
24.0492061032613,49.7987671144208,1527114,"57",1
24.04892,49.79897,1527114,"58",1
24.04892,49.79897,1527114,"59",1
24.0488138719025,49.7989737322355,1527114,"60",1
24.0482130570831,49.7992992134968,1527114,"61",1
24.047837547821,49.7997008682076,1527114,"62",1
24.0476122422638,49.7999016943135,1527114,"63",1
24.0472689195099,49.8002617942107,1527114,"64",1
24.0469577832642,49.8007396149398,1527114,"65",1
24.0467968507233,49.8010789340434,1527114,"66",1
24.0466895623627,49.801397476344,1527114,"67",1
24.0465930028381,49.8019029848234,1527114,"68",1
24.0464749856415,49.8027547200487,1527114,"69",1
24.0463784261169,49.8034541011845,1527114,"70",1
24.0464213414612,49.8039665126334,1527114,"71",1
24.0464535279694,49.8041603966321,1527114,"72",1
24.0464535279694,49.804347355467,1527114,"73",1
24.0467217488708,49.8062099799843,1527114,"74",1
24.0468397660675,49.8068331469083,1527114,"75",1
24.046925596756,49.8077609583534,1527114,"76",1
24.0469041390839,49.808273324216,1527114,"77",1
24.0469041390839,49.8083806434062,1527114,"78",1
24.046748570961,49.8092738067858,1527114,"79",1
24.0465071721497,49.8101981096745,1527114,"80",1
24.046212129158,49.8101946478989,1527114,"81",1
24.0460941119614,49.8101877243469,1527114,"82",1
24.0458634419861,49.810253498051,1527114,"83",1
24.04549,49.81052,1527114,"84",1
24.04549,49.81052,1527114,"85",1
24.0418293996277,49.8116520335543,1527114,"86",1
24.0418401284637,49.8117835768936,1527114,"87",1
24.041893772644,49.8118805033359,1527114,"88",1
24.0423323464779,49.8123393195468,1527114,"89",1
24.0423323464779,49.8123393195468,1527114,"90",1
24.0432456059875,49.8134555308176,1527114,"91",1
24.0433421655121,49.8135005308494,1527114,"92",1
24.0433636231842,49.8135974538531,1527114,"93",1
24.0432777924957,49.8137186073351,1527114,"94",1
24.04262,49.81377,1527114,"95",1
24.04262,49.81377,1527114,"96",1
24.037559322876,49.8134988000796,1527114,"97",1
24.037025563282,49.8135022616189,1527114,"98",1
24.03558,49.814,1527114,"99",1
24.03558,49.814,1527114,"100",0
24.0342172904434,49.8144212915478,1527114,"101",0
24.0310200972977,49.8154008786214,1527114,"102",0
24.0286973042908,49.8161935335057,1527114,"103",0
24.0286973042908,49.8161935335057,1527114,"104",0
24.0282305999222,49.816259299048,1527114,"105",0
24.0264925284805,49.8167992653854,1527114,"106",0
24.0263611002388,49.8168373397074,1527114,"107",0
24.0262833161774,49.8168615688059,1527114,"108",0
24.026213578743,49.8168719527015,1527114,"109",0
24.0260821505012,49.8169013737269,1527114,"110",0
24.0260150952759,49.8169359866751,1527114,"111",0
24.0259534044685,49.8169775221803,1527114,"112",0
24.0258890314522,49.817024249581,1527114,"113",0
24.0254759712639,49.8174984436137,1527114,"114",0
24.0252748055878,49.8176901670824,1527114,"115",0
24.0251997037353,49.8179013022397,1527114,"116",0
