"id","route_id","lng_start","lat_start","lng_finish","lat_finish","dist","dir"
1,712988,23.96536,49.84768,23.9656123181,49.8473880911,0.0371367980693,0
2,712988,23.9656123181,49.8473880911,23.96574,49.84731,0.0126100733089,0
3,712988,23.96574,49.84731,23.9659262281,49.8472206072,0.016635940846,0
4,712988,23.9659262281,49.8472206072,23.9660470076,49.8468042512,0.0471524419401597,0
5,712988,23.9660470076,49.8468042512,23.9661677871,49.8463878952,0.0471524556694268,0
6,712988,23.9661677871,49.8463878952,23.9662885666,49.8459715392,0.0471524694014662,0
7,712988,23.9662885666,49.8459715392,23.9664093461,49.8455551832,0.0471524831322275,0
8,712988,23.9664093461,49.8455551832,23.966491344,49.84527213945,0.0320533818959472,0
9,712988,23.966491344,49.84527213945,23.9665733419,49.8449890957,0.0320533882263574,0
10,712988,23.9665733419,49.8449890957,23.96663,49.8448,0.0214019301764,0
11,712988,23.96663,49.8448,23.96658,49.84473,0.00856428887835,0
12,712988,23.96658,49.84473,23.96658,49.84473,0,0
13,712988,23.96658,49.84473,23.9666917975375,49.844381421025,0.0396248711622448,0
14,712988,23.9666917975375,49.844381421025,23.966803595075,49.84403284205,0.0396248828821115,0
15,712988,23.966803595075,49.84403284205,23.9669153926125,49.843684263075,0.0396248946033859,0
16,712988,23.9669153926125,49.843684263075,23.96702719015,49.8433356841,0.039624906324034,0
17,712988,23.96702719015,49.8433356841,23.9671389876875,49.842987105125,0.0396249180439171,0
18,712988,23.9671389876875,49.842987105125,23.967250785225,49.84263852615,0.0396249297653004,0
19,712988,23.967250785225,49.84263852615,23.9673625827625,49.842289947175,0.0396249414852715,0
20,712988,23.9673625827625,49.842289947175,23.9674743803,49.8419413682,0.039624953206604,0
21,712988,23.9674743803,49.8419413682,23.9675163064,49.8418865949,0.00678789095621,0
22,712988,23.9675163064,49.8418865949,23.967602137,49.8418122154,0.0103030255545,0
23,712988,23.967602137,49.8418122154,23.9678247604,49.8417707012,0.0166078108726,0
24,712988,23.9678247604,49.8417707012,23.9679336964,49.8417697355,0.00780760203447,0
25,712988,23.9679336964,49.8417697355,23.9685489568,49.8417931881,0.044169372607,0
26,712988,23.9685489568,49.8417931881,23.96861,49.84174,0.00735335493339,0
27,712988,23.96861,49.84174,23.96861,49.84174,0,0
28,712988,23.96861,49.84174,23.9690924287,49.8418166109,0.0356058406119,0
29,712988,23.9690924287,49.8418166109,23.9693589839,49.841829513,0.0191563015313,0
30,712988,23.9693589839,49.841829513,23.9698270294,49.8418563242,0.0337332372404173,0
31,712988,23.9698270294,49.8418563242,23.9702950749,49.8418831354,0.0337332186798322,0
32,712988,23.9702950749,49.8418831354,23.9707188639,49.8419151358,0.0306315783303863,0
33,712988,23.9707188639,49.8419151358,23.9711426529,49.8419471362,0.0306315583298084,0
34,712988,23.9711426529,49.8419471362,23.97181052295,49.84198519075,0.0481329855948387,0
35,712988,23.97181052295,49.84198519075,23.972478393,49.8420232453,0.048132948001869,0
36,712988,23.972478393,49.8420232453,23.9729241965,49.84206662265,0.0323662871148115,0
37,712988,23.9729241965,49.84206662265,23.97337,49.84211,0.0323662587218522,0
38,712988,23.97337,49.84211,23.97337,49.84211,0,0
39,712988,23.97337,49.84211,23.9735459122,49.8421408681,0.0130649419182,0
40,712988,23.9735459122,49.8421408681,23.974197689,49.8422342742,0.0478483706147,0
41,712988,23.974197689,49.8422342742,23.97487092345,49.84226886905,0.048484217724974,0
42,712988,23.97487092345,49.84226886905,23.9755441579,49.8423034639,0.0484841832504869,0
43,712988,23.9755441579,49.8423034639,23.97597062915,49.8423276802,0.0307344838631574,0
44,712988,23.97597062915,49.8423276802,23.9763971004,49.8423518965,0.0307344685868215,0
45,712988,23.9763971004,49.8423518965,23.9767538342,49.8423985994,0.0260863594809,0
46,712988,23.9767538342,49.8423985994,23.9770730171,49.8424781672,0.0245232968389,0
47,712988,23.9770730171,49.8424781672,23.97747937175,49.842581951,0.0313762076399479,0
48,712988,23.97747937175,49.842581951,23.9778857264,49.8426857348,0.0313761494168061,0
49,712988,23.9778857264,49.8426857348,23.9783256087,49.8427410859,0.0321178828415,0
50,712988,23.9783256087,49.8427410859,23.9786367449,49.8427255184,0.0223640388751,0
51,712988,23.9786367449,49.8427255184,23.9788405928,49.8426822753,0.0153784725443,0
52,712988,23.9788405928,49.8426822753,23.9789790332,49.8426173097,0.0122697478142,0
53,712988,23.9789790332,49.8426173097,23.9790908833,49.8425448306,0.0113631034287,0
54,712988,23.9790908833,49.8425448306,23.9791552563,49.8424756414,0.00896644881164,0
55,712988,23.9791552563,49.8424756414,23.9792,49.84238,0.011101321847,0
56,712988,23.9792,49.84238,23.97891,49.84214,0.0338113055428,0
57,712988,23.97891,49.84214,23.97891,49.84214,0,0
58,712988,23.97891,49.84214,23.97886956605,49.84186076565,0.0312194648358398,0
59,712988,23.97886956605,49.84186076565,23.9788291321,49.8415815313,0.0312194663939649,0
60,712988,23.9788291321,49.8415815313,23.9787009679625,49.8413703239125,0.0252477379156948,0
61,712988,23.9787009679625,49.8413703239125,23.978572803825,49.841159116525,0.0252477525629398,0
62,712988,23.978572803825,49.841159116525,23.9784446396875,49.8409479091375,0.0252477672115968,0
63,712988,23.9784446396875,49.8409479091375,23.97831647555,49.84073670175,0.0252477818596875,0
64,712988,23.97831647555,49.84073670175,23.9781883114125,49.8405254943625,0.0252477965076217,0
65,712988,23.9781883114125,49.8405254943625,23.978060147275,49.840314286975,0.0252478111543302,0
66,712988,23.978060147275,49.840314286975,23.9779319831375,49.8401030795875,0.0252478258037695,0
