id,route_id,lng_start,lat_start,lng_finish,lat_finish,dist
1,712988,23.96536,49.84768,23.9656123181,49.8473880911,0.0371367980693
2,712988,23.9656123181,49.8473880911,23.96574,49.84731,0.0126100733089
3,712988,23.96574,49.84731,23.9659262281,49.8472206072,0.016635940846
4,712988,23.9659262281,49.8472206072,23.9664093461,49.8455551832,0.188280523209
5,712988,23.9664093461,49.8455551832,23.9665733419,49.8449890957,0.0639948260086
6,712988,23.9665733419,49.8449890957,23.96663,49.8448,0.0214019301764
7,712988,23.96663,49.8448,23.96658,49.84473,0.00856428887835
8,712988,23.96658,49.84473,23.96658,49.84473,0.0
9,712988,23.96658,49.84473,23.9674743803,49.8419413682,0.316445778465
10,712988,23.9674743803,49.8419413682,23.9675163064,49.8418865949,0.00678789095621
11,712988,23.9675163064,49.8418865949,23.967602137,49.8418122154,0.0103030255545
12,712988,23.967602137,49.8418122154,23.9678247604,49.8417707012,0.0166078108726
13,712988,23.9678247604,49.8417707012,23.9679336964,49.8417697355,0.00780760203447
14,712988,23.9679336964,49.8417697355,23.9685489568,49.8417931881,0.044169372607
15,712988,23.9685489568,49.8417931881,23.96861,49.84174,0.00735335493339
16,712988,23.96861,49.84174,23.96861,49.84174,0.0
17,712988,23.96861,49.84174,23.9690924287,49.8418166109,0.0356058406119
18,712988,23.9690924287,49.8418166109,23.9693589839,49.841829513,0.0191563015313
19,712988,23.9693589839,49.841829513,23.9702950749,49.8418831354,0.0673486476311
20,712988,23.9702950749,49.8418831354,23.9711426529,49.8419471362,0.0611561681767
21,712988,23.9711426529,49.8419471362,23.972478393,49.8420232453,0.096097840199
22,712988,23.972478393,49.8420232453,23.97337,49.84211,0.0646195129886
23,712988,23.97337,49.84211,23.97337,49.84211,0.0
24,712988,23.97337,49.84211,23.9735459122,49.8421408681,0.0130649419182
25,712988,23.9735459122,49.8421408681,23.974197689,49.8422342742,0.0478483706147
26,712988,23.974197689,49.8422342742,23.9755441579,49.8423034639,0.0967990835473
27,712988,23.9755441579,49.8423034639,23.9763971004,49.8423518965,0.0613616185919
28,712988,23.9763971004,49.8423518965,23.9767538342,49.8423985994,0.0260863594809
29,712988,23.9767538342,49.8423985994,23.9770730171,49.8424781672,0.0245232968389
30,712988,23.9770730171,49.8424781672,23.9778857264,49.8426857348,0.06264278297
31,712988,23.9778857264,49.8426857348,23.9783256087,49.8427410859,0.0321178828415
32,712988,23.9783256087,49.8427410859,23.9786367449,49.8427255184,0.0223640388751
33,712988,23.9786367449,49.8427255184,23.9788405928,49.8426822753,0.0153784725443
34,712988,23.9788405928,49.8426822753,23.9789790332,49.8426173097,0.0122697478142
35,712988,23.9789790332,49.8426173097,23.9790908833,49.8425448306,0.0113631034287
36,712988,23.9790908833,49.8425448306,23.9791552563,49.8424756414,0.00896644881164
37,712988,23.9791552563,49.8424756414,23.9792,49.84238,0.011101321847
38,712988,23.9792,49.84238,23.97891,49.84214,0.0338113055428
39,712988,23.97891,49.84214,23.97891,49.84214,0.0
40,712988,23.97891,49.84214,23.9788291321,49.8415815313,0.0623299000652
41,712988,23.9788291321,49.8415815313,23.977803819,49.8398918722,0.201629627378
42,712988,23.977803819,49.8398918722,23.97723006,49.8387451215,0.133902956839
43,712988,23.97723006,49.8387451215,23.9771441656,49.8385412464,0.0234771012871
44,712988,23.9771441656,49.8385412464,23.9769831136,49.837304174,0.13795355547
45,712988,23.9769831136,49.837304174,23.9768,49.83688,0.0489293255319
46,712988,23.9768,49.83688,23.9768,49.83688,0.0
47,712988,23.9768,49.83688,23.97693,49.83687,0.00938338306663
48,712988,23.97693,49.83687,23.976838205,49.8360926814,0.0866298073364
49,712988,23.976838205,49.8360926814,23.976838205,49.8359026219,0.0211203808591
50,712988,23.976838205,49.8359026219,23.9768609329,49.8356735317,0.025509742118
51,712988,23.9768609329,49.8356735317,23.9769038482,49.8353898147,0.0316777714749
52,712988,23.9769038482,49.8353898147,23.9776334091,49.8338535621,0.178545324677
53,712988,23.9776334091,49.8338535621,23.9776602312,49.833808581,0.00535549776653
54,712988,23.9776602312,49.833808581,23.9778479858,49.833396829,0.04769401587
55,712988,23.9778479858,49.833396829,23.9778801723,49.8332515039,0.0163132233265
56,712988,23.9778801723,49.8332515039,23.977837257,49.8329331712,0.0355082449244
57,712988,23.977837257,49.8329331712,23.9777621551,49.8327255618,0.0236903280437
58,712988,23.9777621551,49.8327255618,23.9776602312,49.8326148364,0.0143098238741
59,712988,23.9776602312,49.8326148364,23.9774241968,49.8324037655,0.0289203760674
60,712988,23.9774241968,49.8324037655,23.9770540519,49.8321615518,0.0377940926159
61,712988,23.9770540519,49.8321615518,23.9765434218,49.8321257243,0.036817318373
62,712988,23.9765434218,49.8321257243,23.9756885271,49.8319722327,0.0636076546082
63,712988,23.9756885271,49.8319722327,23.9746926189,49.8317960009,0.0740235634198
64,712988,23.9746926189,49.8317960009,23.9737848442,49.8316311384,0.067598801165
65,712988,23.9737848442,49.8316311384,23.9727448692,49.8314492204,0.0772377034607
66,712988,23.9727448692,49.8314492204,23.9718282811,49.8312843567,0.0682075991177
67,712988,23.9718282811,49.8312843567,23.9713082937,49.8311763422,0.0391578889125
68,712988,23.9713082937,49.8311763422,23.97104,49.83108,0.0220105934367
69,712988,23.97104,49.83108,23.9708718561,49.8310905623,0.0121096534533
70,712988,23.9708718561,49.8310905623,23.9685004874,49.8307030537,0.175351251782
71,712988,23.9685004874,49.8307030537,23.9683771058,49.8305905935,0.0153100444686
72,712988,23.9683771058,49.8305905935,23.9682832284,49.8304867839,0.0133551018689
