"lon";"lat";"code";"name";"id"
23,96536;49,84768;"0177";"Суботівська";36734
23,96658;49,84473;"0176";"Поліклініка";36710
23,96861;49,84174;"0194";"Церква Вознесіння";36675
23,97337;49,84211;"0195";"Олешківська";36679
23,97891;49,84214;"0181";"Широка";36680
23,9768;49,83688;"0180";"Сяйво";36629
23,9680295337296;49,8295841988832;"0124";"Мотозавод";36565
23,9677;49,82586;"0127";"Поліклініка № 5";36537
23,9694;49,82002;"0133";"Любінська";36481
23,9714934110451;49,8174322049495;"0134";"Кульчицької";36462
23,9752512574291;49,8143150414927;"0132";"ТВК Південний";36428
23,9820938478851;49,8121395170145;"0135";"Скнилівок";36421
23,99171;49,81118;"0485";"Симоненка";36414
23,99813;49,81054;"0486";"маг. Океан";36409
24,00457;49,80999;"0483";"Володимира Великого";36404
24,0117672009888;49,808917235785;"0480";"Янева";36396
24,01926;49,80841;"0429";"ЛАЗ";36395
24,02046;49,81461;"0403";"Податкова";36440
24,02661;49,8167;"0419";"Козельницька";36456
24,03581;49,81388;"0420";"Кибальчича";36437
24,0381;49,81289;"0437";"Церква Кирила і Мефодія";36425
24,04543;49,81033;"0438";"Угорська";36407
24,05404;49,80753;"0412";"Луганська";36391
24,06271;49,80494;"0376";"Луганська";36379
24,06594;49,80153;"0379";"Зубрівська";36358
24,0718;49,79695;"0380";"Сихівська";36341
24,06441;49,79371;"0397";"Кавалерідзе";36329
24,06755;49,791;"0400";"Кос-Анатольського";36320
24,06614;49,78767;"0410";"Коломийська - Трильовського";36313
24,06108;49,78799;"0409";"Коломийська";36316
24,05865;49,78876;"0454";"Коломийська";36317
24,05875;49,7855;"0457";"Червоної Калини";36305
24,0593792711639;49,7852041287907;"0459";"Червоної Калини";36301
24,05931;49,78746;"0458";"Коломийська";36310
24,0667748234177;49,7878199007936;"0411";"Коломийська - Трильовського";36311
24,06733;49,79134;"0399";"Кос-Анатольського";36321
24,06512;49,7947;"0423";"Кавалерідзе";36336
24,0721472228889;49,7969772758489;"0394";"Сихівська";37295
24,06522;49,80226;"0378";"Зубрівська";36361
24,06231;49,80593;"0377";"Пасічна";36386
24,05369;49,8077;"0413";"Луганська";36392
24,04549;49,81052;"0439";"Угорська";36408
24,0423323464779;49,8123393195468;"0362";"Карбишева";36424
24,04262;49,81377;"0422";"Литвиненка";36435
24,03558;49,814;"0421";"Кибальчича";36438
24,02581;49,81666;"0408";"Козельницька";36454
24,02308;49,81463;"0404";"Податкова";36441
24,01703;49,80835;"0478";"ЛАЗ";36394
24,00737;49,80998;"0479";"Коледж зв'язку";36403
24,001225364418;49,8103900058903;"0481";"Володимира Великого";36406
23,9968;49,81083;"0482";"маг. Океан";36412
23,9903055975532;49,8114923103333;"0484";"Симоненка";36419
23,9822089791679;49,8123008654063;"0131";"Скнилівок";36423
23,97685;49,81365;"0130";"ТВК Південний";36433
23,97246;49,81668;"0129";"Кульчицької";36455
23,9699824196434;49,8196204819716;"0128";"Любінська";36478
23,96755;49,82325;"0126";"Патона";36516
23,96789;49,82628;"0125";"Поліклініка № 5";36543
23,96915;49,83065;"0100";"Мотозавод";36572
23,97735;49,83756;"0179";"Сяйво";36639
23,97868;49,84284;"0196";"Широка";36689
23,9717;49,84217;"0192";"Низинна";36681
23,9678631563577;49,8421988832552;"0175";"Церква Вознесіння";36706
23,96677;49,8455;"0178";"Поліклініка";36721
23,9661957923367;49,8477122942611;"0177-01";"Суботівська";37319
